date,web_name,team,price_prev,new_price,direction
2026-09-16,Mosquera,Arsenal,5.4,5.3,down
2026-09-16,Cash,Aston Villa,4.5,4.4,down
2026-09-16,Goretzka,Aston Villa,6.0,5.9,down
2026-09-16,Collins,Brentford,5.5,5.4,down
2026-09-16,Schade,Brentford,6.0,6.1,up
2026-09-16,O.Dango,Brentford,6.4,6.3,down
2026-09-16,Groß,Brighton,5.6,5.7,up
2026-09-16,O'Riley,Brighton,5.5,5.4,down
2026-09-16,Wieffer,Brighton,5.0,4.9,down
2026-09-16,Wilson,Coventry City,4.5,4.4,down
2026-09-16,Tomiyasu,Crystal Palace,4.5,4.4,down
2026-09-16,Cairney,Fulham,5.0,4.9,down
2026-09-16,Belloumi,Hull City,5.0,5.1,up
2026-09-16,Khusanov,Man City,5.5,5.4,down
2026-09-16,Amad,Man Utd,5.8,5.7,down
2026-09-16,Fletcher,Man Utd,4.5,4.4,down
2026-09-16,Schär,Newcastle,5.0,4.9,down
2026-09-16,Gibbs-White,Nott'm Forest,7.9,8.0,up
