id,web_name,team,price,web_name_prev,team_prev,price_prev,date,change
216,Amdouni,3,4.9,Amdouni,3,5.0,2025-08-27,-0.09999999999999964
89,Philip,4,4.9,Philip,4,5.0,2025-08-27,-0.09999999999999964
125,Janelt,5,4.9,Janelt,5,5.0,2025-08-27,-0.09999999999999964
148,F.Kadıoğlu,6,4.4,F.Kadıoğlu,6,4.5,2025-08-27,-0.09999999999999964
157,Mitoma,6,6.4,Mitoma,6,6.5,2025-08-27,-0.09999999999999964
162,Gruda,6,5.4,Gruda,6,5.5,2025-08-27,-0.09999999999999964
171,Sarmiento,6,4.9,Sarmiento,6,5.0,2025-08-27,-0.09999999999999964
180,Tzimas,6,5.4,Tzimas,6,5.5,2025-08-27,-0.09999999999999964
292,Mykolenko,9,4.9,Mykolenko,9,5.0,2025-08-27,-0.09999999999999964
310,Barry,9,5.9,Barry,9,6.0,2025-08-27,-0.09999999999999964
350,Aaronson,11,5.4,Aaronson,11,5.5,2025-08-27,-0.09999999999999964
400,Ortega Moreno,13,4.9,Ortega Moreno,13,5.0,2025-08-27,-0.09999999999999964
411,O’Reilly,13,4.9,O’Reilly,13,5.0,2025-08-27,-0.09999999999999964
452,Amad,14,6.4,Amad,14,6.5,2025-08-27,-0.09999999999999964
475,Botman,15,4.9,Botman,15,5.0,2025-08-27,-0.09999999999999964
550,Poveda,17,4.9,Poveda,17,5.0,2025-08-27,-0.09999999999999964
551,Rigg,17,4.9,Rigg,17,5.0,2025-08-27,-0.09999999999999964
596,Solanke,18,7.3,Solanke,18,7.4,2025-08-27,-0.10000000000000053
600,Areola,19,4.4,Areola,19,4.5,2025-08-27,-0.09999999999999964
606,Mavropanos,19,4.4,Mavropanos,19,4.5,2025-08-27,-0.09999999999999964
609,Todibo,19,4.4,Todibo,19,4.5,2025-08-27,-0.09999999999999964
624,Bowen,19,7.8,Bowen,19,7.9,2025-08-27,-0.10000000000000053
671,Wilson,19,5.9,Wilson,19,6.0,2025-08-27,-0.09999999999999964
645,Fer López,20,5.4,Fer López,20,5.5,2025-08-27,-0.09999999999999964
